Category,Type,Description,SystemInstructions
Mega Buttons & Interactive Widgets,Liquid Morph Mega Button,Create a large CTA button where the background is a liquid blob shape that morphs and shifts on hover. Use SVG filters for organic blob animation. When clicked the button explodes into particles that reform into a success checkmark. Include ripple effects on tap.,"[Same system instructions as above]"
Mega Buttons & Interactive Widgets,Holographic Shimmer Button,Design a mega button with a holographic rainbow shimmer effect that follows mouse movement across the surface. Use gradient animations and blend modes to create iridescent reflections. Include magnetic cursor attraction - the button subtly pulls toward the mouse.,"[Same system instructions as above]"
Mega Buttons & Interactive Widgets,Neumorphic Toggle Button Grid,Build a widget containing 6-9 neumorphic toggle buttons in a grid. Each button has soft shadows that invert when toggled (pressed/raised effect). Include smooth state transitions with subtle glow. Make it feel tactile and premium like physical switches.,"[Same system instructions as above]"
Mega Buttons & Interactive Widgets,Animated Icon Mega Button Set,Create a set of 4-5 large feature buttons each with an animated icon that plays on hover. Icons should use SVG path animations - draw morph or assemble effects. Include background color transitions and scale transforms. Should feel like a premium dashboard.,"[Same system instructions as above]"
Mega Buttons & Interactive Widgets,Particle Burst Action Buttons,Design action buttons that emit particle bursts when hovered. Particles should spread radially with physics (gravity velocity decay). Each button type has different particle colors and patterns. Include smooth fade-out and performance optimization.,"[Same system instructions as above]"
Mega Buttons & Interactive Widgets,3D Flip Card Buttons,Create buttons styled as 3D cards that flip on hover to reveal secondary information on the back. Use CSS 3D transforms with proper perspective. Include smooth rotation with slight scale and shadow changes. Make multiple cards that can flip independently.,"[Same system instructions as above]"
Mega Buttons & Interactive Widgets,Magnetic Split Button,Build a button that splits into two halves when you hover between them. The halves separate smoothly and each becomes clickable with different actions. Use magnetic field effect - button pieces pull toward cursor. Include smooth recombination on mouse leave.,"[Same system instructions as above]"
Mega Buttons & Interactive Widgets,Neon Sign Button Widget,Design buttons that look like neon signs with flickering glow effects. Use text-shadow animations to simulate neon tube flicker. Include buzzing animation on hover and bright flash on click. Make it feel retro-futuristic but elegant.,"[Same system instructions as above]"
Mega Buttons & Interactive Widgets,Glassmorphic Hover Panel Buttons,Create large button panels with glassmorphism (backdrop blur transparency). On hover a colored light source appears to move behind the glass creating dynamic lighting effects. Include smooth shadow and highlight shifts that follow mouse position.,"[Same system instructions as above]"
Mega Buttons & Interactive Widgets,Morph Path Icon Buttons,Build a set of icon buttons where the icon SVG paths smoothly morph into different shapes on hover or click. For example: play to pause menu to close heart to broken heart. Include spring physics for the morphing animation.,"[Same system instructions as above]"
